"","Provider.State","County","Provider.Name","WeeksofShortage_of_AD_by_Provider","WeeksofShortage_of_CS_by_Provider","WeeksofShortage_of_NS_by_Provider","WeeksofShortage_of_OS_by_Provider"
"329","AZ","Maricopa","ADVANCE HEALTH CARE OF SCOTTSDALE",7,2,5,2
"330","AZ","Maricopa","ADVANCED HEALTH CARE OF GLENDALE",3,1,2,1
"331","AZ","Maricopa","ALLEGIANT HEALTHCARE OF MESA",3,3,3,3
"332","AZ","Maricopa","ALLEGIANT HEALTHCARE OF PHOENIX, LLC",1,1,1,1
"333","AZ","Maricopa","ARCHSTONE CARE CENTER",21,2,4,1
"334","AZ","Maricopa","ARIZONA STATE VETERAN HOME-PHX",5,3,5,4
"335","AZ","Maricopa","BANNER BOSWELL REHABILITATION CENTER",15,NA,15,14
"336","AZ","Maricopa","BEATITUDES CAMPUS",25,1,24,8
"337","AZ","Maricopa","CENTER AT ARROWHEAD, LLC",23,5,28,5
"338","AZ","Maricopa","CHRISTIAN CARE NURSING CENTER",36,1,22,17
"339","AZ","Maricopa","DESERT COVE NURSING CENTER",4,1,4,6
"340","AZ","Maricopa","DESERT HAVEN CARE CENTER",1,NA,1,NA
"341","AZ","Maricopa","FREEDOM PLAZA CARE CENTER",26,NA,25,21
"342","AZ","Maricopa","HAVEN OF PHOENIX",1,NA,1,NA
"343","AZ","Maricopa","HAVEN OF SCOTTSDALE",9,NA,5,NA
"344","AZ","Maricopa","HORIZON POST ACUTE AND REHABILITATION CENTER",1,NA,1,NA
"345","AZ","Maricopa","IMMANUEL CAMPUS OF CARE",43,NA,42,35
"346","AZ","Maricopa","LIFE CARE CENTER OF PARADISE VALLEY",37,NA,39,9
"347","AZ","Maricopa","LIFE CARE CENTER OF SCOTTSDALE",21,2,25,31
"348","AZ","Maricopa","LIFESTREAM AT COOK HEALTH CARE",1,1,1,1
"349","AZ","Maricopa","MARAVILLA CARE CENTER",35,1,41,12
"350","AZ","Maricopa","MI CASA NURSING CENTER",25,NA,19,5
"351","AZ","Maricopa","NEURORESTORATIVE",1,NA,NA,NA
"352","AZ","Maricopa","NORTH CHANDLER PLACE -  A CONTINUUM OF CARE COMMUN",17,NA,13,5
"353","AZ","Maricopa","PALM VALLEY REHAB & CARE CTR",37,2,27,11
"354","AZ","Maricopa","PLAZA HEALTHCARE",17,NA,17,5
"355","AZ","Maricopa","PROVIDENCE PLACE AT GLENCROFT",39,1,39,11
"356","AZ","Maricopa","PUEBLO NORTE SENIOR LIVING COMMUNITY",3,NA,2,NA
"357","AZ","Maricopa","RIDGECREST HEALTHCARE",6,NA,4,NA
"358","AZ","Maricopa","SANTE OF CHANDLER",2,1,1,1
"359","AZ","Maricopa","SANTE OF MESA",1,1,2,1
"360","AZ","Maricopa","SANTE OF NORTH SCOTTSDALE",4,1,3,1
"361","AZ","Maricopa","SANTE OF SURPRISE",12,NA,11,1
"362","AZ","Maricopa","SCOTTSDALE VILLAGE SQUARE",5,1,2,7
"363","AZ","Maricopa","SIERRA WINDS",3,2,3,3
"364","AZ","Maricopa","SPRINGDALE VILLAGE HEALTHCARE",1,1,1,1
"365","AZ","Maricopa","SUN HEALTH LA LOMA CARE CENTER",10,2,9,2
"366","AZ","Maricopa","TEMPE POST ACUTE",10,NA,10,4
"367","AZ","Maricopa","THE CENTER AT VAL VISTA, LLC",2,1,1,1
"368","AZ","Maricopa","THE FORUM AT DESERT HARBOR",1,NA,1,1
"369","AZ","Maricopa","THE TERRACES OF PHOENIX",2,2,6,2
"370","AZ","Maricopa","VI AT GRAYHAWK, A VI AND PLAZA COMPANIES COMMUNITY",2,1,1,1
"371","AZ","Mohave","HAVASU REGIONAL MEDICAL CENTER",3,1,3,2
"372","AZ","Mohave","THE LEGACY REHAB & CARE CENTER",4,3,3,4
"373","AZ","Mohave","THE LINGENFELTER CENTER",1,1,1,1
"374","AZ","Navajo","HAVEN OF LAKESIDE",11,NA,10,NA
"375","AZ","Navajo","WINSLOW CAMPUS OF CARE",16,1,10,13
"376","AZ","Pima","ARIZONA STATE VETERAN HOME-TUCSON",11,2,5,4
"377","AZ","Pima","COPPER HEALTH ORO VALLEY",4,2,4,4
"378","AZ","Pima","DEVON GABLES REHABILITATION CENTER",10,1,4,5
"379","AZ","Pima","FOOTHILLS REHABILITATION CENTER",34,NA,34,32
"380","AZ","Pima","HANDMAKER HOME FOR THE AGING",36,NA,34,27
"381","AZ","Pima","SANTA RITA NURSING & REHABILITATION CENTER",27,NA,18,18
"382","AZ","Pima","SANTA ROSA CARE CENTER",9,2,2,3
"383","AZ","Pima","SAPPHIRE ESTATES REHAB CENTRE, LLC",36,1,35,2
"384","AZ","Pima","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC",2,NA,2,NA
"385","AZ","Pima","SPLENDIDO AT RANCHO VISTOSO",1,NA,NA,NA
"386","AZ","Pima","THE CENTER AT TUCSON",11,11,24,8
"387","AZ","Pima","VILLA MARIA CARE CENTER",40,NA,40,3
"388","AZ","Pinal","APACHE JUNCTION HLTH CENTER",19,NA,4,NA
"389","AZ","Pinal","CARING HOUSE",1,1,1,1
"390","AZ","Pinal","OASIS PAVILION NURSING & REHABILITATION CENTER",2,2,2,2
"391","AZ","Yavapai","GOOD SAMARITAN SOCIETY-PRESCOTT VALLEY",29,NA,18,5
"392","AZ","Yavapai","GOOD SAMARITAN SOCIETY-PRESCOTT VILLAGE",23,1,22,3
"393","AZ","Yavapai","GRANITE CREEK HEALTH & REHABILITATION CENTER",1,NA,1,NA
"394","AZ","Yavapai","MOUNTAIN VIEW MANOR",6,4,6,4
"395","AZ","Yavapai","PRESCOTT NURSING AND REHABILITATION CENTER",21,NA,17,6
"396","AZ","Yuma","LIFE CARE CENTER OF YUMA",14,1,16,1
"397","CA","Alameda","ALAMEDA HEALTHCARE & WELLNESS CENTER",2,NA,2,2
"398","CA","Alameda","BAYPOINT HEALTHCARE CENTER",1,NA,NA,NA
"399","CA","Alameda","BERKELEY PINES SKILLED NURSING CENTER",1,NA,1,NA
"400","CA","Alameda","CROWN BAY NURSING AND REHABILITATION CENTER",1,NA,1,1
"401","CA","Alameda","ELMWOOD CARE CENTER",3,1,2,1
"402","CA","Alameda","FREMONT HEALTHCARE CENTER",27,NA,3,2
"403","CA","Alameda","HAYWARD CONVALESCENT HOSPITAL",2,2,2,2
"404","CA","Alameda","HAYWARD HEALTHCARE & WELLNESS CENTER",15,NA,13,NA
"405","CA","Alameda","KYAKAMEENA CARE CENTER",1,NA,1,NA
"406","CA","Alameda","MEDICAL HILL HEALTHCARE CENTER",2,NA,1,1
"407","CA","Alameda","MORTON BAKAR CENTER",4,1,4,NA
"408","CA","Alameda","OAKLAND HEALTHCARE & WELLNESS CENTER",1,NA,1,1
"409","CA","Alameda","PLEASANTON NURSING AND REHABILITATION CENTER",1,NA,NA,NA
"410","CA","Alameda","PRINCETON MANOR HEALTHCARE CENTER, LLC",7,1,6,3
"411","CA","Alameda","REDWOOD HEALTHCARE CENTER LLC",1,NA,NA,NA
"412","CA","Alameda","SAN LEANDRO HEALTHCARE CENTER",1,NA,NA,NA
"413","CA","Alameda","SERENETHOS CARE CENTER, LLC",1,NA,1,1
"414","CA","Alameda","ST FRANCIS HEALTHCARE CENTER",2,NA,2,2
"415","CA","Alameda","STRATFORD VILLA POST-ACUTE",1,NA,1,1
"416","CA","Alameda","THE VINEYARDS HEALTHCARE CENTER",2,NA,2,1
"417","CA","Alameda","VISTA POST ACUTE",1,NA,2,NA
"418","CA","Alameda","WINDSOR COUNTRY DRIVE CARE CENTER",4,NA,4,NA
"419","CA","Alameda","WINDSOR GARDENS CARE CENTER OF HAYWARD",1,NA,1,NA
"420","CA","Alameda","WINDSOR HEALTHCARE CENTER OF OAKLAND",1,NA,1,NA
"421","CA","Alameda","WINDSOR POST-ACUTE CARE CENTER OF HAYWARD",3,NA,3,1
"422","CA","Butte","ORCHARD HOSPITAL D/P SNF",1,NA,3,NA
"423","CA","Butte","OROVILLE HOSPITAL POST-ACUTE CENTER",1,NA,NA,NA
"424","CA","Butte","WINDSOR CHICO CARE CENTER",1,1,1,1
"425","CA","Butte","WINDSOR CHICO CREEK CARE AND REHAB CENTER",2,NA,1,NA
"426","CA","Colusa","VALLEY WEST POST ACUTE",1,NA,1,1
"427","CA","Contra Costa","ALHAMBRA CONVALESCENT HOSPITAL",1,NA,1,NA
"428","CA","Contra Costa","ANTIOCH CONVALESCENT HOSPITAL",7,NA,4,3
"429","CA","Contra Costa","BAYBERRY SKILLED NURSING & HEALTHCARE CENTER",1,NA,2,1
"430","CA","Contra Costa","LA CASA VIA TRANSITIONAL CARE CENTER",9,NA,9,NA
"431","CA","Contra Costa","LONE TREE CONVALESCENT HOSPITAL",3,NA,3,1
"432","CA","Contra Costa","PLEASANT HILL POST ACUTE",1,NA,1,NA
"433","CA","Contra Costa","SAN MIGUEL VILLA",1,NA,1,NA
"434","CA","Contra Costa","SAN PABLO HEALTHCARE & WELLNESS CENTER",3,NA,2,3
"435","CA","Contra Costa","SHIELDS NURSING CENTER",1,NA,NA,NA
"436","CA","Contra Costa","TAMPICO TERRACE CARE CENTER",3,NA,3,3
"437","CA","Contra Costa","WALNUT CREEK SKILLED NURSING & REHABILITATION CENT",1,NA,1,NA
"438","CA","Contra Costa","WINDSOR MANOR REHABILITATION CENTER",1,NA,NA,NA
"439","CA","Contra Costa","WINDSOR ROSEWOOD CARE CENTER",1,1,1,1
"440","CA","El Dorado","GOLD COUNTRY HEALTH CENTER",31,2,7,2
"441","CA","Fresno","KINGSBURG CENTER",1,NA,1,NA
"442","CA","Fresno","MANNING GARDENS CARE CENTER, INC",1,NA,NA,1
"443","CA","Fresno","ROLLING HILLS CARE CENTER",1,NA,NA,NA
"444","CA","Fresno","TWILIGHT HAVEN",2,NA,3,NA
"445","CA","Glenn","WILLOWS POST ACUTE",2,NA,NA,NA
"446","CA","Humboldt","FORTUNA REHABILITATION AND WELLNESS CENTER, LP",1,1,NA,1
"447","CA","Imperial","IMPERIAL HEIGHTS HEALTHCARE & WELLNESS CENTRE, LLC",2,NA,2,1
"448","CA","Imperial","VALLEY CONVALESCENT CENTER",2,NA,3,2
"449","CA","Kern","SHAFTER NURSING CARE",4,NA,NA,NA
"450","CA","Kern","THE ORCHARDS POST-ACUTE",3,3,2,2
"451","CA","Kern","VALLEY VIEW CARE CENTER",1,NA,1,NA
"452","CA","Lake","ROCKY POINT CARE CENTER",1,NA,1,1
"453","CA","Los Angeles","ANTELOPE VALLEY CARE CENTER",1,1,1,1
"454","CA","Los Angeles","ARARAT CONVALESCENT HOSPITAL",1,1,1,1
"455","CA","Los Angeles","BAY CREST CARE CENTER",1,NA,1,NA
"456","CA","Los Angeles","BEACON HEALTHCARE CENTER",1,1,1,1
"457","CA","Los Angeles","BEL TOOREN VILLA CONVALESCENT",42,2,23,20
"458","CA","Los Angeles","BIXBY KNOLLS TOWERS HEALTH CARE & REHAB CENTER",33,NA,6,3
"459","CA","Los Angeles","BRENTWOOD HEALTH CARE CENTER",2,2,2,2
"460","CA","Los Angeles","CALIFORNIA POST ACUTE",1,NA,1,2
"461","CA","Los Angeles","CASA BONITA CONVALESCENT HOSPITAL",1,1,1,1
"462","CA","Los Angeles","CHATSWORTH PARK HEALTH CARE CENTER",1,1,1,1
"463","CA","Los Angeles","COUNTRY VILLA LOS FELIZ NURSING CENTER",1,NA,1,NA
"464","CA","Los Angeles","COUNTRY VILLA MAR VISTA NRS CT",1,NA,NA,NA
"465","CA","Los Angeles","EASTLAND SUBACUTE AND REHABILITATION CENTER",1,NA,NA,NA
"466","CA","Los Angeles","FLOWER VILLA, INC",3,3,3,3
"467","CA","Los Angeles","GLENDORA CANYON TRANSITIONAL CARE UNIT",1,1,1,1
"468","CA","Los Angeles","GLENOAKS CONVALESCENT HOSPITAL",1,NA,NA,NA
"469","CA","Los Angeles","GRANADA HILLS CONVALESCENT",2,NA,NA,NA
"470","CA","Los Angeles","GREENFIELD CARE CENTER OF SOUTH GATE",4,4,4,4
"471","CA","Los Angeles","HIGHLAND PARK SKILLED NURSING AND WELLNESS CENTER",3,NA,2,NA
"472","CA","Los Angeles","HOLIDAY MANOR CARE CENTER",1,NA,NA,NA
"473","CA","Los Angeles","HUNTINGTON HEALTHCARE CENTER",2,2,2,2
"474","CA","Los Angeles","HUNTINGTON POST ACUTE",1,NA,2,NA
"475","CA","Los Angeles","IMPERIAL HEALTHCARE CENTER",1,1,1,1
"476","CA","Los Angeles","INTERCOMMUNITY CARE CENTER",2,NA,2,1
"477","CA","Los Angeles","LAKEWOOD HEALTHCARE CENTER",5,NA,5,NA
"478","CA","Los Angeles","LAS FLORES CONVALESCENT HOSPITAL",1,2,2,1
"479","CA","Los Angeles","LAUREL PARK BEHAVIORAL HEALTH CENTER",1,NA,NA,NA
"480","CA","Los Angeles","LIGHTHOUSE  HEALTHCARE CENTER",9,NA,9,NA
"481","CA","Los Angeles","LIVE OAK REHAB CENTER",1,NA,NA,NA
"482","CA","Los Angeles","LONG BEACH HEALTHCARE CENTER",8,3,3,3
"483","CA","Los Angeles","LOS PALOS POST-ACUTE CARE CENTER",10,NA,14,2
"484","CA","Los Angeles","MACLAY HEALTHCARE CENTER",11,NA,12,NA
"485","CA","Los Angeles","MANCHESTER MANOR CONV HOSPITAL",2,NA,3,NA
"486","CA","Los Angeles","MARYCREST MANOR",1,1,1,1
"487","CA","Los Angeles","MAYFLOWER GARDENS CONVALESCENT HOSPITAL",30,NA,8,NA
"488","CA","Los Angeles","MAYWOOD SKILLED NURSING & WELLNESS CENTRE",1,NA,NA,NA
"489","CA","Los Angeles","MIRADA HILLS REHABILITATION AND CONV HOSPITAL",1,1,1,1
"490","CA","Los Angeles","MONROVIA POST ACUTE",4,NA,4,NA
"491","CA","Los Angeles","MONTEBELLO CARE CENTER",3,1,1,1
"492","CA","Los Angeles","MOUNTAIN VIEW CONV HOSP",1,NA,NA,NA
"493","CA","Los Angeles","NORTH WALK VILLA CONVAL. HOSP.",13,1,14,15
"494","CA","Los Angeles","NORTHRIDGE CARE CENTER",33,NA,33,1
"495","CA","Los Angeles","OLYMPIA CONVALESCENT HOSPITAL",5,4,5,5
"496","CA","Los Angeles","PACIFICA HOSPITAL OF THE VALLEY DP SNF",2,4,4,4
"497","CA","Los Angeles","PALAZZO POST ACUTE",6,NA,5,NA
"498","CA","Los Angeles","PASADENA GROVE HEALTH CENTER",1,NA,NA,NA
"499","CA","Los Angeles","PINE GROVE HEALTHCARE & WELLNESS CENTRE, LP",1,1,1,1
"500","CA","Los Angeles","RIO HONDO SUBACUTE &  NURSING CENTER",3,NA,2,1
"501","CA","Los Angeles","RIVIERA HEALTHCARE CENTER",5,NA,4,4
"502","CA","Los Angeles","ROYAL GARDENS HEALTHCARE",13,NA,13,NA
"503","CA","Los Angeles","ROYAL PALMS POST ACUTE",8,NA,NA,NA
"504","CA","Los Angeles","SAN GABRIEL VALLEY MEDICAL CTR D/P SNF",2,NA,NA,NA
"505","CA","Los Angeles","SANTA FE LODGE",1,NA,1,NA
"506","CA","Los Angeles","SANTA MONICA CONV CTR I",1,1,1,1
"507","CA","Los Angeles","SANTA MONICA CONV CTR II",2,1,4,2
"508","CA","Los Angeles","SANTA TERESITA MANOR",2,1,1,1
"509","CA","Los Angeles","SEACREST POST-ACUTE CARE  CENTER",6,NA,9,1
"510","CA","Los Angeles","SERENTO CASA",1,NA,1,NA
"511","CA","Los Angeles","ST. JOHN OF GOD RETIREMENT",24,NA,NA,NA
"512","CA","Los Angeles","SUNNYSIDE NURSING CENTER",2,NA,2,3
"513","CA","Los Angeles","TEMPLE CITY HEALTHCARE",1,NA,NA,NA
"514","CA","Los Angeles","THE MEADOWS POST ACUTE",1,NA,NA,NA
"515","CA","Los Angeles","THE ROWLAND",1,NA,1,NA
"516","CA","Los Angeles","TWO PALMS NURSING CENTER, INC",1,NA,2,1
"517","CA","Los Angeles","VERNON HEALTHCARE CENTER",1,NA,NA,1
"518","CA","Los Angeles","WHITTIER PACIFIC CARE CENTER",2,2,2,2
"519","CA","Los Angeles","WINDSOR CARE CENTER OF CHEVIOT HILLS",1,NA,NA,NA
"520","CA","Los Angeles","WINDSOR PALMS CARE CENTER OF ARTESIA",1,NA,1,NA
"521","CA","Los Angeles","WOODS HEALTH SERVICES",1,NA,1,NA
"522","CA","Madera","CHOWCHILLA MEMORIAL HEALTHCARE DISTRICT",1,NA,NA,NA
"523","CA","Madera","PALMS CARE CENTER",1,NA,1,NA
"524","CA","Marin","MARIN POST ACUTE",1,1,1,1
"525","CA","Marin","PINE RIDGE CARE CENTER",1,NA,NA,NA
"526","CA","Marin","PROFESSIONAL POST ACUTE CENTER",2,NA,1,NA
"527","CA","Marin","SMITH RANCH SKILLED NURSING & REHABILITATION CENTE",2,NA,2,NA
"528","CA","Mendocino","SHERWOOD OAKS HEALTH CENTER",3,NA,3,2
"529","CA","Merced","HY-LOND HEALTH CARE CENTER-MERCED",1,1,1,1
"530","CA","Modoc","SURPRISE VALLEY COMMUNITY HOSPITAL D/P SNF",1,NA,NA,NA
"531","CA","Monterey","EDEN VALLEY CARE CENTER",1,1,NA,NA
"532","CA","Monterey","PACIFIC COAST POST ACUTE",3,1,3,3
"533","CA","Monterey","WINDSOR MONTEREY CARE CENTER",2,NA,1,NA
"534","CA","Napa","NAPA VALLEY CARE CENTER",1,NA,1,NA
"535","CA","Nevada","GOLDEN EMPIRE",1,NA,NA,2
"536","CA","Orange","ADVANCED REHAB CENTER OF TUSTIN",1,NA,1,NA
"537","CA","Orange","ANAHEIM CREST NURSING CENTER",1,NA,NA,NA
"538","CA","Orange","ANAHEIM HEALTHCARE CENTER, LLC",1,NA,1,NA
"539","CA","Orange","FLAGSHIP HEALTHCARE CENTER",8,NA,NA,NA
"540","CA","Orange","FRENCH PARK CARE CENTER",1,NA,NA,NA
"541","CA","Orange","LA HABRA CONVALESCENT HOSPITAL",1,NA,1,1
"542","CA","Orange","LA PALMA NURSING CENTER",2,NA,2,2
"543","CA","Orange","LAGUNA HILLS HEALTH AND REHABILITATION CENTER",1,NA,2,NA
"544","CA","Orange","LAKE FOREST NURSING CENTER",2,NA,2,NA
"545","CA","Orange","MISSION PALMS HEALTHCARE CENTER",1,NA,2,NA
"546","CA","Orange","ORANGEGROVE REHABILITATION HOSPITAL",3,3,3,3
"547","CA","Orange","PARK REGENCY CARE CENTER",1,NA,1,NA
"548","CA","Orange","ROWNTREE GARDENS",1,NA,NA,1
"549","CA","Orange","SUN MAR NURSING CENTER",1,NA,NA,NA
"550","CA","Placer","AUBURN RAVINE TERRACE",32,NA,2,2
"551","CA","Placer","WESTVIEW HEALTHCARE CENTER",1,NA,1,1
"552","CA","Riverside","ALTA VISTA HEALTHCARE & WELLNESS CENTRE",1,NA,NA,NA
"553","CA","Riverside","CALIFORNIA NURSING & REHABILITATION CENTER",4,4,4,4
"554","CA","Riverside","CORONA POST ACUTE CENTER",2,NA,3,NA
"555","CA","Riverside","DESERT SPRINGS HEALTHCARE & WELLNESS CENTRE",2,NA,1,NA
"556","CA","Riverside","HEMET VALLEY HEALTHCARE CENTER",11,NA,11,NA
"557","CA","Riverside","INDIO NURSING AND REHABILITATION CENTER",2,2,6,3
"558","CA","Riverside","MANORCARE HEALTH SERVICES-HEMET",4,1,1,1
"559","CA","Riverside","MEADOWBROOK HEALTH CARE CENTER",1,NA,1,1
"560","CA","Riverside","PALM SPRINGS HEALTHCARE & REHABILITATION CENTER",3,NA,3,3
"561","CA","Riverside","RIVERSIDE BEHAVIORAL HEALTHCARE CENTER",1,NA,1,1
"562","CA","Riverside","RIVERSIDE POSTACUTE CARE",42,NA,38,NA
"563","CA","Sacramento","ACC CARE CENTER",1,NA,NA,NA
"564","CA","Sacramento","APPLEWOOD POST ACUTE",1,NA,NA,1
"565","CA","Sacramento","BRIARWOOD POST ACUTE",1,NA,NA,NA
"566","CA","Sacramento","DOUBLE TREE POST ACUTE CARE CENTER",1,NA,1,NA
"567","CA","Sacramento","DYCORA TRANSITIONAL HEALTH - GALT",3,NA,3,NA
"568","CA","Sacramento","ESKATON CARE CENTER MANZANITA",2,2,NA,NA
"569","CA","Sacramento","MISSION CARMICHAEL HEALTHCARE CENTER",2,NA,2,NA
"570","CA","Sacramento","NORWOOD PINES ALZHEIMERS CENTER",1,NA,1,NA
"571","CA","Sacramento","PIONEER HOUSE",27,1,NA,1
"572","CA","Sacramento","WINDSOR CARE CENTER OF SACRAMENTO",2,NA,2,NA
"573","CA","Sacramento","WINDSOR ELK GROVE CARE AND REHABILITATION CENTER",2,NA,1,2
"574","CA","San Bernardino","APPLE VALLEY CARE CENTER",1,NA,1,NA
"575","CA","San Bernardino","ARROWHEAD HEALTHCARE CENTER, LLC",1,1,1,1
"576","CA","San Bernardino","HERITAGE GARDENS HEALTH CARE CENTER",1,1,1,1
"577","CA","San Bernardino","HILLCREST NURSING HOME",1,NA,NA,NA
"578","CA","San Bernardino","MEDICAL CENTER CONVALESCENT HOSPITAL",1,1,1,1
"579","CA","San Bernardino","RANCHO MESA CARE CENTER",1,NA,NA,NA
"580","CA","San Bernardino","RECHE CANYON REGIONAL REHAB CENTER",4,NA,2,2
"581","CA","San Bernardino","RIALTO POST ACUTE CENTER",17,3,16,11
"582","CA","San Bernardino","SHANDIN HILLS BEHAVIOR THERAPY CENTER",1,NA,1,2
"583","CA","San Bernardino","VALLEY CARE CENTER",2,NA,1,NA
"584","CA","San Bernardino","YUCCA VALLEY NURSING",10,NA,10,1
"585","CA","San Diego","AMAYA SPRINGS HEALTH CARE CENTER",1,NA,1,NA
"586","CA","San Diego","BOULDER CREEK POST ACUTE",3,NA,2,NA
"587","CA","San Diego","BRIGHTON PLACE SAN DIEGO",1,NA,2,2
"588","CA","San Diego","BRIGHTON PLACE SPRING VALLEY",2,NA,2,NA
"589","CA","San Diego","ESCONDIDO POST ACUTE REHAB",2,NA,2,2
"590","CA","San Diego","GOLDEN HILL SUBACUTE & REHAB CTR",1,NA,3,NA
"591","CA","San Diego","GRANITE HILLS HEALTHCARE & WELLNESS CENTRE, LLC",13,NA,13,2
"592","CA","San Diego","LA FUENTE POST ACUTE",18,NA,18,8
"593","CA","San Diego","LA PALOMA HEALTHCARE CENTER",1,NA,1,NA
"594","CA","San Diego","LEMON GROVE CARE AND REHABILITATION CENTER",1,NA,2,NA
"595","CA","San Diego","LIFE CARE CENTER OF ESCONDIDO",43,NA,43,NA
"596","CA","San Diego","LIFE CARE CENTER OF VISTA",2,NA,3,3
"597","CA","San Diego","PARADISE VALLEY HEALTH CARE",2,NA,2,NA
"598","CA","San Diego","PARKSIDE HEALTH AND WELLNESS CENTER",2,NA,NA,NA
"599","CA","San Diego","SOMERSET SUBACUTE AND CARE",2,NA,NA,NA
"600","CA","San Diego","THE ROYAL HOME",18,NA,27,NA
"601","CA","San Diego","VILLA POMERADO D/P SNF",1,1,1,1
"602","CA","San Diego","VILLAGE SQUARE HEALTHCARE CENTER",1,NA,NA,NA
"603","CA","San Francisco","JEWISH HOME & REHAB CENTER D/P SNF",1,1,1,1
"604","CA","San Francisco","LAWTON SKILLED NURSING & REHABILITATION CENTER",1,1,1,1
"605","CA","San Francisco","ST. ANNE'S HOME",1,NA,NA,NA
"606","CA","San Francisco","THE AVENUES TRANSITIONAL CARE CENTER",2,NA,2,1
"607","CA","San Joaquin","BETHANY HOME SOCIETY SAN JOAQUIN COUNTY",1,NA,NA,NA
"608","CA","San Joaquin","DYCORA TRANSITIONAL HEALTH - QUAIL LAKE",3,NA,1,NA
"609","CA","San Joaquin","FULTON GARDENS POST ACUTE, LLC",1,NA,NA,NA
"610","CA","San Joaquin","MANTECA CARE AND REHABILITATION CENTER",1,NA,1,1
"611","CA","San Joaquin","NEW HOPE POST ACUTE CARE",33,32,33,NA
"612","CA","San Joaquin","PLYMOUTH SQUARE",29,1,5,2
"613","CA","San Joaquin","RIVERWOOD HEALTH CARE",1,NA,1,1
"614","CA","San Joaquin","ST JUDE CARE CENTER",1,NA,NA,NA
"615","CA","San Joaquin","WINDSOR HAMPTON CARE CENTER",1,NA,NA,NA
"616","CA","San Luis Obispo","BAYSIDE CARE CENTER",1,1,1,1
"617","CA","San Mateo","ATHERTON PARK POST-ACUTE",1,NA,1,NA
"618","CA","San Mateo","BROOKSIDE SKILLED NURSING HOSPITAL",1,NA,1,NA
"619","CA","San Mateo","DEVONSHIRE OAKS NURSING CENTER",1,1,1,1
"620","CA","San Mateo","MILLBRAE CARE CENTER",2,1,2,2
"621","CA","San Mateo","SAN MATEO MEDICAL CENTER D/P SNF",4,NA,4,1
"622","CA","Santa Barbara","BUENA VISTA CARE CENTER",1,NA,NA,NA
"623","CA","Santa Barbara","COUNTRY OAKS CARE CENTER",3,NA,3,NA
"624","CA","Santa Barbara","SANTA MARIA POST ACUTE",6,NA,6,NA
"625","CA","Santa Barbara","VILLA MARIA POST ACUTE",1,NA,1,NA
"626","CA","Santa Clara","CUPERTINO HEALTHCARE & WELLNESS CENTER",5,1,8,4
"627","CA","Santa Clara","DYCORA TRANSITIONAL HEALTH-SAN JOSE",5,NA,5,NA
"628","CA","Santa Clara","HERMAN HEALTH CARE CENTER",1,NA,1,NA
"629","CA","Santa Clara","HILLVIEW CONVALESCENT HOSPITAL",2,NA,2,1
"630","CA","Santa Clara","LINCOLN GLEN SKILLED NURSING",2,NA,2,NA
"631","CA","Santa Clara","MANORCARE HEALTH SERVICES (SUNNYVALE)",2,NA,NA,1
"632","CA","Santa Clara","MILPITAS CARE CENTER",3,NA,3,2
"633","CA","Santa Clara","MISSION DE LA CASA NURSING & REHABILITATION CENTER",2,NA,2,NA
"634","CA","Santa Clara","MOUNTAIN VIEW HEALTHCARE CENTER",1,NA,1,1
"635","CA","Santa Clara","THE REDWOODS POST-ACUTE",1,NA,1,1
"636","CA","Shasta","MARQUIS CARE AT SHASTA",1,NA,NA,NA
"637","CA","Shasta","QUARTZ HILL POST ACUTE",2,1,1,1
"638","CA","Shasta","WINDSOR REDDING CARE CENTER",1,2,2,2
"639","CA","Solano","HEARTWOOD AVENUE HEALTHCARE",2,NA,2,NA
"640","CA","Solano","LA MARIPOSA CARE AND REHABILITATION CENTER",3,NA,3,NA
"641","CA","Solano","ORCHARD POST ACUTE CARE",2,1,3,2
"642","CA","Solano","SPRINGS ROAD HEALTHCARE",1,1,1,1
"643","CA","Sonoma","BROADWAY VILLA POST ACUTE",3,NA,3,NA
"644","CA","Sonoma","CLOVERDALE HEALTHCARE CENTER",2,NA,1,NA
"645","CA","Sonoma","VINEYARD POST ACUTE",3,NA,NA,NA
"646","CA","Stanislaus","CASA DE MODESTO",1,NA,NA,NA
"647","CA","Stanislaus","CENTRAL VALLEY POST ACUTE",1,NA,1,NA
"648","CA","Stanislaus","CERES POSTACUTE CARE",1,NA,1,NA
"649","CA","Stanislaus","CRESTWOOD MANOR - 112",1,1,1,1
"650","CA","Stanislaus","NORTH STARR POSTACUTE CARE",1,NA,NA,NA
"651","CA","Stanislaus","OAKDALE NURSING AND REHABILITATION CENTER",1,NA,1,NA
"652","CA","Stanislaus","SAN LUIS CARE CENTER",2,NA,11,1
"653","CA","Stanislaus","WINDSOR POST-ACUTE HEALTHCARE CENTER OF MODESTO",3,NA,3,NA
"654","CA","Tulare","SIERRA VALLEY REHAB CENTER",1,1,1,1
"655","CA","Tuolumne","AVALON CARE CENTER - SONORA",1,1,1,1
"656","CA","Ventura","MAYWOOD ACRES HEALTHCARE",3,1,3,1
"657","CA","Ventura","OXNARD MANOR HEALTHCARE CENTER",11,NA,NA,NA
"658","CA","Ventura","ST JOHNS PLEASANT VALLEY HOSPITAL D/P SNF",1,NA,NA,NA
"659","CA","Yolo","COTTONWOOD HEALTH CARE CENTER",3,1,3,1
